cpus=12
           <...>-110479 [001] 70738.514955: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:25, dampen:1024 
           <...>-110479 [001] 70738.514956: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110479, Temp:25, dampen:1024 
           <...>-110479 [001] 70738.514956: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110490, Temp:25, dampen:1024 
 stress-ng-matri-110490 [001] 70738.526904: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:17, dampen:1024 
 stress-ng-matri-110490 [001] 70738.526905: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110479, Temp:17, dampen:1024 
 stress-ng-matri-110490 [001] 70738.526906: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110490, Temp:17, dampen:1024 
 stress-ng-matri-110469 [001] 70738.530715: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:16, dampen:1024 
 stress-ng-matri-110469 [001] 70738.530716: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110479, Temp:16, dampen:1024 
 stress-ng-matri-110469 [001] 70738.530717: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110490, Temp:16, dampen:1024 
   warp-terminal-9201  [001] 70738.532588: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
   warp-terminal-9201  [001] 70738.532589: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110479, Temp:15, dampen:1024 
   warp-terminal-9201  [001] 70738.532589: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110490, Temp:15, dampen:1024 
           <...>-9203  [001] 70738.532715: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
           <...>-9203  [001] 70738.532715: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110479, Temp:15, dampen:1024 
           <...>-9203  [001] 70738.532716: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110490, Temp:15, dampen:1024 
 stress-ng-matri-110490 [001] 70738.533678: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:16, dampen:1024 
 stress-ng-matri-110490 [001] 70738.533678: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110479, Temp:16, dampen:1024 
 stress-ng-matri-110490 [001] 70738.533679: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110490, Temp:16, dampen:1024 
           <...>-110479 [001] 70738.534890: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:16, dampen:1024 
