cpus=12
 stress-ng-matri-110464 [004] 70738.514954: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110464, Temp:29, dampen:1024 
 stress-ng-matri-110497 [004] 70738.526904: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110464, Temp:20, dampen:1024 
 stress-ng-matri-110497 [004] 70738.526905: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110497, Temp:20, dampen:1024 
 stress-ng-matri-110497 [004] 70738.526906: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110498, Temp:20, dampen:1024 
 stress-ng-matri-110498 [004] 70738.538857: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110464, Temp:19, dampen:1024 
 stress-ng-matri-110498 [004] 70738.538859: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110497, Temp:19, dampen:1024 
 stress-ng-matri-110498 [004] 70738.538860: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110498, Temp:19, dampen:1024 
 stress-ng-matri-110497 [004] 70738.542889: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110464, Temp:18, dampen:1024 
 stress-ng-matri-110497 [004] 70738.542891: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110497, Temp:18, dampen:1024 
 stress-ng-matri-110497 [004] 70738.542891: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110498, Temp:18, dampen:1024 
 stress-ng-matri-110464 [004] 70738.546887: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110464, Temp:18, dampen:1024 
 stress-ng-matri-110464 [004] 70738.546888: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110497, Temp:18, dampen:1024 
 stress-ng-matri-110464 [004] 70738.546889: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110498, Temp:18, dampen:1024 
 stress-ng-matri-110498 [004] 70738.550890: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110464, Temp:18, dampen:1024 
 stress-ng-matri-110498 [004] 70738.550892: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110497, Temp:18, dampen:1024 
 stress-ng-matri-110498 [004] 70738.550892: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110498, Temp:18, dampen:1024 
 stress-ng-matri-110497 [004] 70738.554885: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110464, Temp:16, dampen:1024 
 stress-ng-matri-110497 [004] 70738.554887: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110497, Temp:16, dampen:1024 
 stress-ng-matri-110497 [004] 70738.554887: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110498, Temp:16, dampen:1024 
 stress-ng-matri-110464 [004] 70738.558956: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110464, Temp:16, dampen:1024 
 stress-ng-matri-110464 [004] 70738.558960: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110497, Temp:16, dampen:1024 
 stress-ng-matri-110464 [004] 70738.558960: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110498, Temp:16, dampen:1024 
 stress-ng-matri-110498 [004] 70738.562886: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110464, Temp:15, dampen:1024 
 stress-ng-matri-110498 [004] 70738.562888: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110497, Temp:15, dampen:1024 
 stress-ng-matri-110498 [004] 70738.562888: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110498, Temp:15, dampen:1024 
 stress-ng-matri-110497 [004] 70738.566884: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110464, Temp:14, dampen:1024 
 stress-ng-matri-110497 [004] 70738.566886: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110497, Temp:14, dampen:1024 
 stress-ng-matri-110497 [004] 70738.566887: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110498, Temp:14, dampen:1024 
 stress-ng-matri-110464 [004] 70738.570895: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110464, Temp:14, dampen:1024 
 stress-ng-matri-110464 [004] 70738.570897: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110497, Temp:14, dampen:1024 
 stress-ng-matri-110464 [004] 70738.570897: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110498, Temp:14, dampen:1024 
 stress-ng-matri-110498 [004] 70738.574891: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110464, Temp:16, dampen:1024 
