 stress-ng-matri-110470 [000] 70738.514954: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:25, dampen:1024 
 stress-ng-matri-110470 [000] 70738.518919: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:22, dampen:1024 
 stress-ng-matri-110470 [000] 70738.518921: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=      stress-ng pid 110495, Temp:22, dampen:1024 
 stress-ng-matri-110470 [000] 70738.518921: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=      stress-ng pid 110496, Temp:22, dampen:1024 
 stress-ng-matri-110496 [000] 70738.530898: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:17, dampen:1024 
 stress-ng-matri-110496 [000] 70738.530899: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:17, dampen:1024 
 stress-ng-matri-110496 [000] 70738.530900: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:17, dampen:1024 
 stress-ng-matri-110496 [000] 70738.534890: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:16, dampen:1024 
 stress-ng-matri-110496 [000] 70738.534891: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:16, dampen:1024 
 stress-ng-matri-110496 [000] 70738.534892: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:16, dampen:1024 
 stress-ng-matri-110470 [000] 70738.538857: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:15, dampen:1024 
 stress-ng-matri-110470 [000] 70738.538859: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:15, dampen:1024 
 stress-ng-matri-110470 [000] 70738.538859: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:15, dampen:1024 
 stress-ng-matri-110495 [000] 70738.542889: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:15, dampen:1024 
 stress-ng-matri-110495 [000] 70738.542890: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:15, dampen:1024 
 stress-ng-matri-110495 [000] 70738.542891: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:15, dampen:1024 
 stress-ng-matri-110470 [000] 70738.546887: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:15, dampen:1024 
 stress-ng-matri-110470 [000] 70738.546888: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:15, dampen:1024 
 stress-ng-matri-110470 [000] 70738.546888: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:15, dampen:1024 
 stress-ng-matri-110496 [000] 70738.550890: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:15, dampen:1024 
 stress-ng-matri-110496 [000] 70738.550891: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:15, dampen:1024 
 stress-ng-matri-110496 [000] 70738.550892: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:15, dampen:1024 
 stress-ng-matri-110495 [000] 70738.554885: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:14, dampen:1024 
 stress-ng-matri-110495 [000] 70738.554886: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:14, dampen:1024 
 stress-ng-matri-110495 [000] 70738.554886: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:14, dampen:1024 
 stress-ng-matri-110470 [000] 70738.558957: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:14, dampen:1024 
 stress-ng-matri-110470 [000] 70738.558959: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:14, dampen:1024 
 stress-ng-matri-110470 [000] 70738.558960: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:14, dampen:1024 
 stress-ng-matri-110470 [000] 70738.559154: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:14, dampen:1024 
 stress-ng-matri-110470 [000] 70738.559156: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:14, dampen:1024 
 stress-ng-matri-110470 [000] 70738.559156: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:14, dampen:1024 
 stress-ng-matri-110470 [000] 70738.559227: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:14, dampen:1024 
 stress-ng-matri-110470 [000] 70738.559228: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:14, dampen:1024 
 stress-ng-matri-110470 [000] 70738.559228: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.562886: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:12, dampen:1024 
 stress-ng-matri-110496 [000] 70738.562887: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:12, dampen:1024 
 stress-ng-matri-110496 [000] 70738.562887: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:12, dampen:1024 
 stress-ng-matri-110495 [000] 70738.566884: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:12, dampen:1024 
 stress-ng-matri-110495 [000] 70738.566886: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:12, dampen:1024 
 stress-ng-matri-110495 [000] 70738.566886: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:12, dampen:1024 
 stress-ng-matri-110470 [000] 70738.570895: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:11, dampen:1024 
 stress-ng-matri-110470 [000] 70738.570896: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:11, dampen:1024 
 stress-ng-matri-110470 [000] 70738.570897: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:11, dampen:1024 
 stress-ng-matri-110496 [000] 70738.574891: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.574893: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.574893: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:14, dampen:1024 
 stress-ng-matri-110495 [000] 70738.578935: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:14, dampen:1024 
 stress-ng-matri-110495 [000] 70738.578936: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:14, dampen:1024 
 stress-ng-matri-110495 [000] 70738.578936: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.582892: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:12, dampen:1024 
 stress-ng-matri-110496 [000] 70738.582893: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:12, dampen:1024 
 stress-ng-matri-110496 [000] 70738.582893: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:12, dampen:1024 
 stress-ng-matri-110470 [000] 70738.586891: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:12, dampen:1024 
 stress-ng-matri-110470 [000] 70738.586892: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:12, dampen:1024 
 stress-ng-matri-110470 [000] 70738.586893: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:12, dampen:1024 
